case,term,sp_py,sp_r,sp_rel,edf_py,edf_r,edf_abs,near_null
R15_default_mcycle,times,1.53,1.53,2.28e-09,8.39,8.39,1.09e-09,False
mcycle_reml,times,1.36,1.36,2.72e-05,8.444,8.444,1.21e-05,False
gamsim4_gaussian,x0,2.56e+03,2.56e+03,8.25e-07,2.492,2.492,4.74e-07,False
gamsim4_gaussian,x1,3.23e+03,3.23e+03,1.98e-07,2.399,2.399,7.81e-08,False
gamsim4_gaussian,x2,7.9,7.9,7.84e-06,7.641,7.641,7.34e-06,False
gamsim4_gaussian,x3,1.31e+08,1.06e+13,1,1,1,7.85e-05,True
gamsim4_gaussian_reml,x0,1.18e+03,1.18e+03,1.18e-07,3.009,3.009,5.87e-07,False
gamsim4_gaussian_reml,x1,1.61e+03,1.61e+03,1.31e-06,2.838,2.838,1.44e-06,False
gamsim4_gaussian_reml,x2,5.36,5.36,1.02e-06,7.957,7.957,2.47e-06,False
gamsim4_gaussian_reml,x3,1.31e+08,1.11e+07,10.7,1,1.001,0.000841,True
gamsim4_poisson,x0,1.24e+03,1.24e+03,5.38e-05,5.065,5.065,5.83e-05,False
gamsim4_poisson,x1,346,346,5.11e-05,6.53,6.53,5.72e-05,False
gamsim4_poisson,x2,144,144,5.37e-05,7.399,7.399,5.22e-05,False
gamsim4_poisson,x3,1.23e+03,1.23e+03,5.27e-05,5.077,5.077,5.69e-05,False
gamsim4_binomial,x0,59.3,59.3,4.92e-05,3.745,3.745,4.38e-05,False
gamsim4_binomial,x1,829,829,4.82e-05,1.864,1.864,2.15e-05,False
gamsim4_binomial,x2,0.00269,0.00269,5.23e-05,8.851,8.851,4.58e-06,False
gamsim4_binomial,x3,2.68e+08,5.27e+06,49.8,1,1,0.000351,True
R10_near_linear,x,1.61e+08,5.04e+12,1,1,1,9.6e-05,True
R10_wiggly,x,0.0335,0.0356,0.0593,18.97,18.97,0.00203,False
R10_concurvity,x1,57.5,57.5,0.000167,5.826,5.826,0.000228,False
R10_concurvity,x2,1.24e+03,1.24e+03,0.000507,1.857,1.857,0.000316,False
R10_overspecified_k,x,0.492,0.492,4.95e-05,27.84,27.84,5.11e-05,False
R10_parametric_plus_smooth,x,29.4,29.4,7.58e-06,6.333,6.333,8.55e-06,False
