case,n,fitted_max_abs,total_edf_abs,param_coef_max_abs,param_se_max_rel,scale_rel,aic_abs,smooth_stat_kind,smooth_stat_max_rel
R15_default_mcycle,133,1.28e-13,1.78e-15,7.11e-15,2.39e-15,1.12e-16,0.348,F,0.000286
mcycle_reml,133,1.21e-13,5.33e-15,7.11e-15,1.48e-15,0,0.352,F,0.000272
gamsim4_gaussian,400,1.94e-10,8.69e-11,1.38e-11,4.63e-13,9.28e-13,0.271,F,0.00332
gamsim4_gaussian_reml,400,8.88e-13,2.07e-12,8.88e-16,7.01e-16,1.13e-16,0.321,F,0.00559
gamsim4_poisson,2000,2.82e-13,2.84e-14,2.24e-14,3.77e-15,0,9.09e-13,Chi.sq,0.0308
gamsim4_binomial,600,6.09e-09,1.51e-07,1.08e-07,4.44e-07,0,3.3e-07,Chi.sq,0.0233
R10_near_linear,300,3.7e-11,4.88e-11,2.34e-12,1e-12,2e-12,0.0067,F,4.05e-11
R10_wiggly,400,6.13e-15,0,2.15e-16,2.85e-15,1.08e-14,0.516,F,1.98e-06
R10_concurvity,400,7.55e-15,2.13e-14,1.39e-17,4.77e-16,1.31e-15,0.0956,F,0.534
R10_overspecified_k,400,6.22e-15,1.78e-14,1.18e-16,3.08e-14,6.14e-14,1.09,F,4.58e-06
R10_parametric_plus_smooth,300,6.66e-15,5.33e-15,4.88e-15,3.59e-15,1.14e-14,0.118,F,0.00054
