case,family,method,n,n_coef_py,n_coef_r,total_edf_abs,smooth_edf_max_abs,score_rel,deviance_rel,fitted_max_abs,sp_rel_nonnull
R15_default_mcycle,gaussian,GCV,133,10,10,1.09e-09,1.09e-09,1.88e-15,1.76e-11,6.61e-09,2.28e-09
mcycle_reml,gaussian,REML,133,10,10,1.21e-05,1.21e-05,2.19e-12,1.71e-07,7.11e-05,2.72e-05
mcycle_tp,gaussian,GCV,133,10,10,2.86e-08,2.86e-08,5.42e-15,4.64e-10,2.38e-07,n/a
A3_cc_basis,gaussian,REML,400,9,9,0.000495,0.000495,4.23e-07,6.46e-07,7.89e-06,n/a
A3_ps_basis,gaussian,REML,400,10,10,1.5e-05,1.5e-05,3.21e-13,1.8e-07,2e-06,n/a
gamsim4_gaussian,gaussian,GCV,400,37,37,7.17e-05,7.85e-05,2.66e-07,1.06e-07,1.01e-05,7.84e-06
gamsim4_gaussian_reml,gaussian,REML,400,37,37,0.000836,0.000841,3.09e-07,1.4e-06,9.61e-05,1.31e-06
gamsim4_poisson,poisson,GCV,2000,37,37,3.25e-06,3.14e-06,1.12e-14,2.97e-09,4.21e-07,3.23e-06
gamsim4_binomial,binomial,GCV,600,37,37,0.00035,0.000351,9.32e-07,1.42e-06,1.55e-05,6.35e-07
R10_near_linear,gaussian,GCV,300,10,10,9.6e-05,9.6e-05,5.61e-07,8.28e-08,1.01e-06,all-null
R10_wiggly,gaussian,GCV,400,20,20,0.00203,0.00203,3.39e-07,1.1e-05,0.000121,0.0593
R10_concurvity,gaussian,GCV,400,19,19,8.81e-05,0.000316,1.38e-10,4.5e-07,1.72e-05,0.000507
R10_overspecified_k,gaussian,GCV,400,30,30,5.11e-05,5.11e-05,7.62e-12,2.75e-07,7.56e-07,4.95e-05
R10_parametric_plus_smooth,gaussian,GCV,300,11,11,8.55e-06,8.55e-06,1.7e-13,5.86e-08,4.25e-07,7.58e-06
