complexity,G,group_size,n,p,pystat_s,r_lmer_s,speedup_vs_r
intercept,10,8,80,2,0.0034112499561160803,0.014,4.104067476761471
intercept,25,8,200,2,0.0031670841854065657,0.014,4.420469801374348
intercept,50,8,400,2,0.0033985418267548084,0.016,4.7079014517464515
intercept,100,8,800,2,0.004179750103503466,0.018,4.306477553505508
intercept,200,8,1600,2,0.006248957943171263,0.021,3.3605603031699687
intercept,400,8,3200,2,0.009197500068694353,0.0319999999999999,3.479206280075898
intercept,800,8,6400,2,0.01607508398592472,0.0509999999999999,3.1726117290992257
intercept,2000,8,16000,2,0.03289500018581748,0.108,3.2831737160641112
intercept+slope,10,8,80,2,0.017905708169564605,0.019,1.0611141329944955
intercept+slope,25,8,200,2,0.019898000173270702,0.019,0.954869827849484
intercept+slope,50,8,400,2,0.026812917087227106,0.022,0.8205000570594446
intercept+slope,100,8,800,2,0.041277125012129545,0.03,0.7267948044148983
intercept+slope,200,8,1600,2,0.06738875014707446,0.041,0.6084101561539338
intercept+slope,400,8,3200,2,0.11979495896957815,0.0600000000000001,0.5008557999108882
intercept+slope,800,8,6400,2,0.22472791699692607,0.114,0.5072800990789201
intercept+slope,2000,8,16000,2,0.5603324170224369,0.236,0.42117855906692986
