analysis,sweep,n,p,wall_pystat_s,wall_r_s,speedup_vs_r,rotation
pca,n,1000,50,0.0015946249477565289,0.0020000000000000018,1.2542134141409198,
pca,n,5000,50,0.006534874904900789,0.009000000000000008,1.377226057265536,
pca,n,20000,50,0.019632959039881825,0.028999999999999915,1.4771079561206313,
pca,n,100000,50,0.10708566708490252,0.15499999999999936,1.4474392719345728,
pca,p,10000,10,0.0013292499352246523,0.0020000000000000018,1.5046079348967492,
pca,p,10000,50,0.011730166152119637,0.015000000000000013,1.2787542653255188,
pca,p,10000,200,0.06265654205344617,0.08499999999999996,1.356602155406131,
pca,p,10000,500,0.20682079112157226,0.28699999999999903,1.3876748002153045,
factor_analysis,n,500,12,0.003085375064983964,0.0020000000000000018,0.6482194086216863,none
factor_analysis,n,2000,12,0.0011089169420301914,0.0010000000000000009,0.9017807935815403,none
factor_analysis,n,10000,12,0.0011771670542657375,0.0020000000000000018,1.6989942020145217,none
factor_analysis,n,50000,12,0.0024087911006063223,0.008000000000000007,3.321168032373712,none
