method,cond_X,outcome,subspace_angle_deg,sdev_max_rel,accepted_correct,force_bypasses
gram,10.0,accepted,0.0019532310970371276,3.055112058272858e-06,True,
gram,100.0,refused,,,,True
gram,300.0,refused,,,,True
gram,700.0,refused,,,,True
gram,1000.0,refused,,,,True
gram,1500.0,refused,,,,True
gram,3000.0,refused,,,,True
gram,10000.0,refused,,,,True
gram,100000.0,refused,,,,True
randomized,10.0,accepted,9.075738350724584e-06,2.577523128147161e-07,True,
randomized,100.0,refused,,,,True
randomized,300.0,refused,,,,True
randomized,700.0,refused,,,,True
randomized,1000.0,refused,,,,True
randomized,1500.0,refused,,,,True
randomized,3000.0,refused,,,,True
randomized,10000.0,refused,,,,True
randomized,100000.0,refused,,,,True
