survey,p,n_eligible,n_independent,n_replaced,replaced_frac,feasible,reason,max_abs_corr
wvs,5,125,122,0,0.0,True,,0.99
wvs,10,125,122,0,0.0,True,,0.99
wvs,15,125,122,0,0.0,True,,0.99
wvs,20,125,122,0,0.0,True,,0.99
wvs,25,125,122,1,0.04,True,,0.99
wvs,50,125,122,2,0.04,True,,0.99
wvs,100,125,122,2,0.02,True,,0.99
gss,5,140,135,0,0.0,True,,0.99
gss,10,140,135,1,0.1,True,,0.99
gss,15,140,135,1,0.066667,True,,0.99
gss,20,140,135,2,0.1,True,,0.99
gss,25,140,135,4,0.16,True,,0.99
gss,50,140,135,4,0.08,True,,0.99
gss,100,140,135,4,0.04,True,,0.99
cses,5,61,61,0,0.0,True,,0.99
cses,10,61,61,0,0.0,True,,0.99
cses,15,61,61,0,0.0,True,,0.99
cses,20,61,61,0,0.0,True,,0.99
cses,25,61,61,0,0.0,True,,0.99
cses,50,61,61,0,0.0,True,,0.99
afrobarometer,5,61,61,0,0.0,True,,0.99
afrobarometer,10,61,61,0,0.0,True,,0.99
afrobarometer,15,61,61,0,0.0,True,,0.99
afrobarometer,20,61,61,0,0.0,True,,0.99
afrobarometer,25,61,61,0,0.0,True,,0.99
afrobarometer,50,61,61,0,0.0,True,,0.99
