backend,survey,p,trace,grad,objective_ms,gradient_ms
mps,wvs,25,solve,autodiff,794.52,2321.95
mps,wvs,25,solve,analytic,794.52,420.02
mps,wvs,25,blocked,autodiff,16.46,787.37
mps,wvs,25,blocked,analytic,16.46,18.97
mps,wvs,50,solve,autodiff,5785.69,16381.81
mps,wvs,50,solve,analytic,5785.69,3290.28
mps,wvs,50,blocked,autodiff,165.2,5084.76
mps,wvs,50,blocked,analytic,165.2,191.74
mps,wvs,100,solve,autodiff,21066.57,61030.62
mps,wvs,100,solve,analytic,21066.57,15935.56
mps,wvs,100,blocked,autodiff,1825.48,21407.95
mps,wvs,100,blocked,analytic,1825.48,2093.97
mps,gss,25,solve,autodiff,12.56,34.76
mps,gss,25,solve,analytic,12.56,7.03
mps,gss,25,blocked,autodiff,1.52,13.14
mps,gss,25,blocked,analytic,1.52,1.84
mps,gss,50,solve,autodiff,853.92,2451.85
mps,gss,50,solve,analytic,853.92,476.41
mps,gss,50,blocked,autodiff,32.67,790.64
mps,gss,50,blocked,analytic,32.67,38.4
mps,gss,100,solve,autodiff,20733.05,60969.72
mps,gss,100,solve,analytic,20733.05,12694.46
mps,gss,100,blocked,autodiff,654.63,20426.07
mps,gss,100,blocked,analytic,654.63,791.11
cuda,wvs,25,solve,autodiff,1.33,56.56
cuda,wvs,25,solve,analytic,1.33,54.78
cuda,wvs,25,blocked,autodiff,3.02,58.13
cuda,wvs,25,blocked,analytic,3.02,56.65
cuda,wvs,50,solve,autodiff,18.8,399.48
cuda,wvs,50,solve,analytic,18.8,372.93
cuda,wvs,50,blocked,autodiff,34.37,409.44
cuda,wvs,50,blocked,analytic,34.37,390.0
cuda,wvs,100,solve,autodiff,145.12,2296.41
cuda,wvs,100,solve,analytic,145.12,2072.31
cuda,wvs,100,blocked,autodiff,320.58,2428.82
cuda,wvs,100,blocked,analytic,320.58,2260.53
cuda,gss,25,solve,autodiff,0.27,2.06
cuda,gss,25,solve,analytic,0.27,1.6
cuda,gss,25,blocked,autodiff,0.46,2.24
cuda,gss,25,blocked,analytic,0.46,1.77
cuda,gss,50,solve,autodiff,2.99,145.47
cuda,gss,50,solve,analytic,2.99,141.15
cuda,gss,50,blocked,autodiff,5.49,147.2
cuda,gss,50,blocked,analytic,5.49,143.9
cuda,gss,100,solve,autodiff,94.25,2825.05
cuda,gss,100,solve,analytic,94.25,2679.42
cuda,gss,100,blocked,autodiff,202.97,2905.33
cuda,gss,100,blocked,analytic,202.97,2796.78
