survey,p,n,n_patterns,missing_frac,engine,converged,n_iter,loglik,wall_median_s,backend_name,precision,parameterization,error
wvs,5,96894,26,0.0863397114372407,pystatistics:cpu,True,6,-217412.63268310926,0.02740995807107538,cpu_cholesky_fp64,fp64,cholesky,
wvs,5,96894,26,0.0863397114372407,pystatistics:gpu,True,5,-217412.625,0.07834979193285108,gpu_mps_fp32,fp32,cholesky,
wvs,10,97076,348,0.08725328608512918,pystatistics:cpu,True,18,-313602.15513194946,0.12768837506882846,cpu_cholesky_fp64,fp64,cholesky,
wvs,10,97076,348,0.08725328608512918,pystatistics:gpu,True,11,-313602.25,0.14780375000555068,gpu_mps_fp32,fp32,cholesky,
wvs,15,97097,1596,0.08148346498861962,pystatistics:cpu,True,30,-479040.32718857174,0.6500372919254005,cpu_cholesky_fp64,fp64,cholesky,
wvs,15,97097,1596,0.08148346498861962,pystatistics:gpu,True,16,-479040.375,0.3997299160109833,gpu_mps_fp32,fp32,cholesky,
wvs,20,97109,3704,0.09026763739715166,pystatistics:cpu,True,34,-665376.1647099284,1.6766582500422373,cpu_cholesky_fp64,fp64,cholesky,
wvs,20,97109,3704,0.09026763739715166,pystatistics:gpu,True,18,-665376.0625,0.679168124916032,gpu_mps_fp32,fp32,cholesky,
wvs,25,97124,7271,0.09965199126889338,pystatistics:cpu,True,40,-829652.971159907,6.061136791948229,cpu_cholesky_fp64,fp64,cholesky,
wvs,25,97124,7271,0.09965199126889338,pystatistics:gpu,True,17,-829652.9375,1.1710248331073672,gpu_mps_fp32,fp32,cholesky,
wvs,50,97220,22121,0.10059411643694713,pystatistics:cpu,True,64,-1495012.872693649,74.10012629197445,cpu_cholesky_fp64,fp64,cholesky,
wvs,50,97220,22121,0.10059411643694713,pystatistics:gpu,True,30,-1495013.75,11.712620415957645,gpu_mps_fp32,fp32,cholesky,
gss,5,75224,13,0.07500531745187707,pystatistics:cpu,True,12,-94539.56403990036,0.024030375061556697,cpu_cholesky_fp64,fp64,cholesky,
gss,5,75224,13,0.07500531745187707,pystatistics:gpu,True,6,-94539.609375,0.10546504193916917,gpu_mps_fp32,fp32,cholesky,
gss,10,75683,75,0.11208461609608499,pystatistics:cpu,True,26,-129265.09050951533,0.07481929194182158,cpu_cholesky_fp64,fp64,cholesky,
gss,10,75683,75,0.11208461609608499,pystatistics:gpu,True,19,-129265.125,0.2246019170852378,gpu_mps_fp32,fp32,cholesky,
gss,15,75683,89,0.1613986408220252,pystatistics:cpu,True,64,11668.097522686689,0.20014470897149295,cpu_cholesky_fp64,fp64,cholesky,
gss,15,75683,89,0.1613986408220252,pystatistics:gpu,True,44,11639.51953125,0.22649445908609778,gpu_mps_fp32,fp32,cholesky,
gss,20,75683,89,0.18908275306211433,pystatistics:cpu,True,89,99744.69295971104,0.39591445797123015,cpu_cholesky_fp64,fp64,cholesky,
gss,20,75683,89,0.18908275306211433,pystatistics:gpu,True,19,99631.390625,0.2648130831075832,gpu_mps_fp32,fp32,cholesky,
gss,25,75699,106,0.2065200332897396,pystatistics:cpu,True,226,271991.2184627953,1.1257323340978473,cpu_cholesky_fp64,fp64,cholesky,
gss,25,75699,106,0.2065200332897396,pystatistics:gpu,True,27,271844.75,0.4261360840173438,gpu_mps_fp32,fp32,cholesky,
gss,50,75699,3778,0.24022457364033872,pystatistics:cpu,True,272,27817.645909601873,61.084994332981296,cpu_cholesky_fp64,fp64,cholesky,
gss,50,75699,3778,0.24022457364033872,pystatistics:gpu,True,125,27706.21875,8.202494625002146,gpu_mps_fp32,fp32,cholesky,
