func,n,p,K,py_ms,r_ms,ratio_py_over_r,py_slope,r_slope,pass
polr,500,4,4,4.45,5.0,0.889,0.88,0.99,True
polr,2000,4,4,9.62,18.0,0.534,0.88,0.99,True
polr,8000,4,4,40.58,71.0,0.572,0.88,0.99,True
polr,20000,4,4,107.28,192.0,0.559,0.88,0.99,True
multinom(n),500,4,3,1.22,1.0,1.223,0.82,1.17,True
multinom(n),2000,4,3,3.09,6.0,0.516,0.82,1.17,True
multinom(n),8000,4,3,11.25,29.0,0.388,0.82,1.17,True
multinom(n),20000,4,3,24.28,75.0,0.324,0.82,1.17,True
multinom(K),4000,5,3,6.45,18.0,0.359,1.09,1.57,True
multinom(K),4000,5,5,10.2,34.0,0.3,1.09,1.57,True
multinom(K),4000,5,8,18.77,74.0,0.254,1.09,1.57,True
multinom(K),4000,5,12,28.53,158.0,0.181,1.09,1.57,True
