model_key,n,p,engine,device,wall_median_s,peak_mem_mb,n_iter,error
ols,1000,8,pystatistics:cpu,cpu,0.000121348537504673,,,
ols,1000,32,pystatistics:cpu,cpu,0.00040025729686021805,,,
ols,1000,128,pystatistics:cpu,cpu,0.0025456221774220467,1.0,,
ols,10000,8,pystatistics:cpu,cpu,0.0013143513351678848,,,
ols,10000,32,pystatistics:cpu,cpu,0.004479400813579559,2.1,,
ols,10000,128,pystatistics:cpu,cpu,0.020731106400489807,0.7,,
ols,100000,8,pystatistics:cpu,cpu,0.008177367970347404,0.1,,
ols,100000,32,pystatistics:cpu,cpu,0.041050877422094345,,,
ols,100000,128,pystatistics:cpu,cpu,0.3179911430925131,12.8,,
ols,500000,8,pystatistics:cpu,cpu,0.04388068895787001,,,
ols,500000,32,pystatistics:cpu,cpu,0.34431883320212364,8.0,,
ols,500000,128,pystatistics:cpu,cpu,2.1726333824917674,0.2,,
glm_binomial,1000,8,pystatistics:cpu,cpu,0.0008000833913683891,,5,
glm_binomial,1000,32,pystatistics:cpu,cpu,0.002319205552339554,,5,
glm_binomial,1000,128,pystatistics:cpu,cpu,0.021658631041646004,,10,
glm_binomial,10000,8,pystatistics:cpu,cpu,0.003779275342822075,,4,
glm_binomial,10000,32,pystatistics:cpu,cpu,0.021257713437080383,,6,
glm_binomial,10000,128,pystatistics:cpu,cpu,0.14528949931263924,,7,
glm_binomial,100000,8,pystatistics:cpu,cpu,0.040013172663748264,,4,
glm_binomial,100000,32,pystatistics:cpu,cpu,0.2677104230970144,,6,
glm_binomial,100000,128,pystatistics:cpu,cpu,2.3294653156772256,,7,
glm_binomial,500000,8,pystatistics:cpu,cpu,0.2688230946660042,,4,
glm_binomial,500000,32,pystatistics:cpu,cpu,2.266408017836511,,6,
glm_binomial,500000,128,pystatistics:cpu,cpu,15.169057701714337,24.0,7,
