family,mechanism,severity,np_cond,plain_status,accepted_coef_rel_vs_fp64,accepted_dev_rel_vs_fp64,forced_coef_rel_vs_fp64,forced_dev_rel_vs_fp64,fp64_dev_rel_vs_cpu,classification
poisson,conditioning,0.1,20.06522321377558,converged,5.5980312339533726e-06,7.181720950651948e-15,,,,safe
poisson,conditioning,0.01,202.44436814090741,converged,0.0003253097748048325,1.7954795074358689e-12,,,,safe
poisson,conditioning,0.001,1980.9984412828017,converged,0.00012101357913130778,3.82186284652736e-12,,,,safe
poisson,conditioning,0.0001,20009.20882970279,converged,0.010041582934525272,2.4330267009389333e-08,,,,safe
poisson,conditioning,1e-05,205259.07086244607,refused:NumericalError,,,1.0000447074063696,5.244607417266478e-06,,refused-force-recovers
poisson,conditioning,1e-06,2077452.4564490647,refused:NumericalError,,,1.0000039637402316,7.331521784744767e-05,,refused-force-recovers
poisson,large_coef,1.0,1.064759570752198,converged,1.8898258962477487e-07,1.0872778656533408e-14,,,,safe
poisson,large_coef,3.0,1.070160178430546,converged,2.2961259957334866e-05,5.248834783615078e-07,,,,safe
poisson,large_coef,6.0,1.0513397242516316,refused:NumericalError,,,5.764680044838837e-05,0.005012913569816194,,refused-true-positive
poisson,large_coef,10.0,1.0591189602446052,refused:NumericalError,,,0.0001364348785792958,6.029988430244817e-05,,refused-force-recovers
poisson,large_coef,16.0,1.0765192137929216,refused:NumericalError,,,nan,nan,,refused-true-positive
poisson,large_coef,24.0,1.070742668640738,refused:NumericalError,,,nan,nan,,refused-true-positive
poisson,low_weight,0.1,1.0658192142378746,converged,6.226053196991844e-07,4.682829345434972e-15,,,,safe
poisson,low_weight,0.5,1.0675492504132797,converged,6.730178015522455e-06,1.6181634290652722e-15,,,,safe
poisson,low_weight,0.8,1.0564603726402018,converged,6.0526876442275894e-05,1.0273459178139283e-12,,,,safe
poisson,low_weight,0.9,1.061435646822112,converged,9.412380927816247e-07,3.76367801099891e-14,,,,safe
poisson,low_weight,0.95,1.0807784965375773,converged,5.179064647674148e-07,2.7612643806276022e-14,,,,safe
poisson,low_weight,0.99,1.1146077753179453,converged,2.9609641913382477e-06,1.7531530342473478e-13,,,,safe
gamma,conditioning,0.1,20.058213035766368,converged,1.1860186858027938e-05,1.272800400990724e-13,,,,safe
gamma,conditioning,0.01,199.23612258888224,converged,5.742985782815007e-05,6.139722749936811e-13,,,,safe
gamma,conditioning,0.001,2038.4688365682587,converged,0.0006724972032085946,2.798502224263759e-10,,,,safe
gamma,conditioning,0.0001,20459.56143063156,converged,0.008090568688770249,3.479552077863026e-08,,,,safe
gamma,conditioning,1e-05,204645.2034756549,refused:NumericalError,,,3.9594529612217237,1.5181870332879414e-05,,refused-force-recovers
gamma,conditioning,1e-06,2015646.793209141,refused:NumericalError,,,1.0000120917642108,0.0011160552564601683,,refused-true-positive
gamma,large_coef,1.0,1.0624515732937352,converged,0.0001461249944323129,2.446414709668607e-11,,,,safe
gamma,large_coef,3.0,1.0624661818123766,converged,1.1818540552115716e-06,3.9158990348191934e-13,,,,safe
gamma,large_coef,6.0,1.0714167810337698,converged,4.82033700586512e-07,1.0920600711812804e-07,,,,safe
gamma,large_coef,10.0,1.066949087365577,refused:NumericalError,,,0.0002701635617106946,6.411135483207241e-05,,refused-force-recovers
gamma,large_coef,16.0,1.06928488551138,refused:NumericalError,,,0.011734907817545749,0.005336514471547825,,refused-true-positive
gamma,large_coef,24.0,1.0709225851922928,refused:NumericalError,,,nan,nan,,refused-true-positive
gamma,low_weight,0.1,1.069731135539298,converged,0.0002758510102516842,6.743811754787873e-11,,,,safe
gamma,low_weight,0.5,1.0779332161568893,refused:NumericalError,,,nan,nan,,refused-true-positive
gamma,low_weight,0.8,1.0590981654280602,refused:NumericalError,,,nan,nan,,refused-true-positive
gamma,low_weight,0.9,1.0871761429580984,refused:NumericalError,,,nan,nan,,refused-true-positive
gamma,low_weight,0.95,1.0677942933771305,refused:NumericalError,,,nan,nan,,refused-true-positive
gamma,low_weight,0.99,1.0704139687651475,refused:NumericalError,,,nan,nan,,refused-true-positive
