model_key,n,p,wall_cpu_fp64_s,wall_gpu_fp32_s,wall_gpu_fp64_s,speedup_fp32_vs_cpu,speedup_fp64_vs_cpu,gpu_fp64_coef_rel_vs_cpu
ols,10000,32,0.001962936483323574,0.001180971972644329,0.005833428353071213,1.6621363832439973,0.3364979158936815,2.1720818416394905e-15
ols,10000,128,0.007561267353594303,0.0034663164988160133,0.03595416061580181,2.18135515212676,0.21030298647192266,2.863891009153434e-14
ols,100000,32,0.01601299922913313,0.002201944589614868,0.00830359198153019,7.272208076740881,1.9284424457212126,4.018631683117243e-15
ols,100000,128,0.0977614177390933,0.013014459051191807,0.0489836186170578,7.511754223095484,1.995798197421237,2.096325733912748e-14
ols,500000,32,0.11562726274132729,0.014296959154307842,0.018871888518333435,8.087542357319208,6.126957703729497,1.4028714697667535e-14
ols,500000,128,0.7714675767347217,0.05247214436531067,0.10559751279652119,14.702421371685713,7.305736246092123,1.5889121174454197e-14
glm_poisson,10000,32,0.005279514007270336,0.003997622057795525,0.0042524393647909164,1.320663617255931,1.2415259935234653,8.451438167519915e-15
glm_poisson,10000,128,0.03967949282377958,0.009276485070586205,0.011684718541800976,4.277427551691423,3.395844981787961,1.7589851537253794e-13
glm_poisson,100000,32,0.09907178767025471,0.0394626846536994,0.03261792194098234,2.51051819052983,3.037342104426871,9.257349403209327e-15
glm_poisson,100000,128,0.5620591389015317,0.1421703975647688,0.11022391077131033,3.9534189151118717,5.099248747104221,1.7603512198664052e-14
glm_poisson,500000,32,0.710481982678175,0.2918886123225093,0.20283846464008093,2.4340859926839475,3.502698484426329,1.0575980597357722e-14
glm_poisson,500000,128,4.193403431214392,0.7111047180369496,0.5457029826939106,5.8970265909507,7.684406287305392,1.711674709213945e-13
