model_key,n,p,engine,device,wall_median_s,peak_mem_mb,n_iter,error
ols,1000,8,pystatistics:cpu,cpu,0.00012679211795330048,,,
ols,1000,32,pystatistics:cpu,cpu,0.0005357081536203623,0.3,,
ols,1000,128,pystatistics:cpu,cpu,0.0019731249194592237,4.1,,
ols,10000,8,pystatistics:cpu,cpu,0.00079774996265769,0.0,,
ols,10000,32,pystatistics:cpu,cpu,0.005357875023037195,8.2,,
ols,10000,128,pystatistics:cpu,cpu,0.021814042003825307,0.1,,
ols,100000,8,pystatistics:cpu,cpu,0.0068764169700443745,24.0,,
ols,100000,32,pystatistics:cpu,cpu,0.0526634999550879,0.0,,
ols,100000,128,pystatistics:cpu,cpu,0.2144227500539273,1.6,,
ols,500000,8,pystatistics:cpu,cpu,0.03945254092104733,4.0,,
ols,500000,32,pystatistics:cpu,cpu,0.3112499578855932,8.0,,
ols,500000,128,pystatistics:cpu,cpu,1.2533147500362247,12.1,,
glm_binomial,1000,8,pystatistics:cpu,cpu,0.0008505410514771938,0.0,4,
glm_binomial,1000,32,pystatistics:cpu,cpu,0.002652042079716921,0.1,4,
glm_binomial,1000,128,pystatistics:cpu,cpu,0.00930699985474348,0.1,4,
glm_binomial,10000,8,pystatistics:cpu,cpu,0.006132249953225255,,4,
glm_binomial,10000,32,pystatistics:cpu,cpu,0.028167417040094733,0.0,4,
glm_binomial,10000,128,pystatistics:cpu,cpu,0.09540325007401407,,4,
glm_binomial,100000,8,pystatistics:cpu,cpu,0.05635137506760657,32.1,4,
glm_binomial,100000,32,pystatistics:cpu,cpu,0.24322716612368822,0.0,4,
glm_binomial,100000,128,pystatistics:cpu,cpu,0.9173669579904526,,4,
glm_binomial,500000,8,pystatistics:cpu,cpu,0.2923891660757363,32.2,4,
glm_binomial,500000,32,pystatistics:cpu,cpu,1.4004921671003103,0.0,4,
glm_binomial,500000,128,pystatistics:cpu,cpu,5.368739750003442,20.2,4,
glm_poisson,1000,8,pystatistics:cpu,cpu,0.001536667114123702,0.0,5,
glm_poisson,1000,32,pystatistics:cpu,cpu,0.0036410419270396233,,5,
glm_poisson,1000,128,pystatistics:cpu,cpu,0.012241207994520664,0.0,5,
glm_poisson,10000,8,pystatistics:cpu,cpu,0.009990458143875003,,5,
glm_poisson,10000,32,pystatistics:cpu,cpu,0.038824208080768585,,5,
glm_poisson,10000,128,pystatistics:cpu,cpu,0.12037429097108543,0.0,5,
glm_poisson,100000,8,pystatistics:cpu,cpu,0.06311670900322497,,5,
glm_poisson,100000,32,pystatistics:cpu,cpu,0.2935115408618003,,5,
glm_poisson,100000,128,pystatistics:cpu,cpu,1.1312730410136282,,5,
glm_poisson,500000,8,pystatistics:cpu,cpu,0.3258079581428319,12.0,5,
glm_poisson,500000,32,pystatistics:cpu,cpu,1.7201739998999983,0.0,5,
glm_poisson,500000,128,pystatistics:cpu,cpu,6.669461000012234,,5,
glm_gamma,1000,8,pystatistics:cpu,cpu,0.0027840419206768274,0.0,6,
glm_gamma,1000,32,pystatistics:cpu,cpu,0.0039546668995171785,,7,
glm_gamma,1000,128,pystatistics:cpu,cpu,0.037364125018939376,,14,
glm_gamma,10000,8,pystatistics:cpu,cpu,0.010227834107354283,0.0,5,
glm_gamma,10000,32,pystatistics:cpu,cpu,0.03713695891201496,0.0,5,
glm_gamma,10000,128,pystatistics:cpu,cpu,0.1442886251024902,,6,
glm_gamma,100000,8,pystatistics:cpu,cpu,0.06113454117439687,8.0,5,
glm_gamma,100000,32,pystatistics:cpu,cpu,0.29397162492386997,,5,
glm_gamma,100000,128,pystatistics:cpu,cpu,1.1333997079636902,,5,
glm_gamma,500000,8,pystatistics:cpu,cpu,0.32599404198117554,0.0,5,
glm_gamma,500000,32,pystatistics:cpu,cpu,1.707915458129719,4.0,5,
glm_gamma,500000,128,pystatistics:cpu,cpu,6.656673082849011,,5,
