model_key,n,p,engine,device,wall_median_s,peak_mem_mb,n_iter,error
ols,1000,8,pystatistics:gpu,cuda,0.00046450644731521606,8.6,,
ols,1000,32,pystatistics:gpu,cuda,0.00103653222322464,8.7,,
ols,1000,128,pystatistics:gpu,cuda,0.0032627079635858536,9.5,,
ols,10000,8,pystatistics:gpu,cuda,0.0004969863221049309,9.1,,
ols,10000,32,pystatistics:gpu,cuda,0.0011277319863438606,10.1,,
ols,10000,128,pystatistics:gpu,cuda,0.0033993562683463097,14.2,,
ols,100000,8,pystatistics:gpu,cuda,0.0009688027203083038,14.1,,
ols,100000,32,pystatistics:gpu,cuda,0.0022319043055176735,23.7,,
ols,100000,128,pystatistics:gpu,cuda,0.012516912072896957,63.1,,
ols,500000,8,pystatistics:gpu,cuda,0.00411096028983593,36.5,,
ols,500000,32,pystatistics:gpu,cuda,0.014337880536913872,84.5,,
ols,500000,128,pystatistics:gpu,cuda,0.05439076013863087,276.7,,
glm_binomial,1000,8,pystatistics:gpu,cuda,0.0012972205877304077,8.7,3,
glm_binomial,1000,32,pystatistics:gpu,cuda,0.0014102105051279068,9.0,3,
glm_binomial,1000,128,pystatistics:gpu,cuda,0.0022094836458563805,10.2,3,
glm_binomial,10000,8,pystatistics:gpu,cuda,0.0028136195614933968,9.8,3,
glm_binomial,10000,32,pystatistics:gpu,cuda,0.0036978349089622498,12.7,3,
glm_binomial,10000,128,pystatistics:gpu,cuda,0.008634420111775398,24.4,3,
glm_binomial,100000,8,pystatistics:gpu,cuda,0.018855787813663483,21.7,3,
glm_binomial,100000,32,pystatistics:gpu,cuda,0.039991539902985096,50.5,3,
glm_binomial,100000,128,pystatistics:gpu,cuda,0.1323641836643219,166.7,3,
glm_binomial,500000,8,pystatistics:gpu,cuda,0.11248715315014124,75.0,3,
glm_binomial,500000,32,pystatistics:gpu,cuda,0.29759418964385986,219.0,3,
glm_binomial,500000,128,pystatistics:gpu,cuda,0.6631656223908067,794.8,3,
glm_poisson,1000,8,pystatistics:gpu,cuda,0.001733647659420967,8.7,5,
glm_poisson,1000,32,pystatistics:gpu,cuda,0.0018954658880829811,9.0,5,
glm_poisson,1000,128,pystatistics:gpu,cuda,0.0029496895149350166,10.2,5,
glm_poisson,10000,8,pystatistics:gpu,cuda,0.0031066080555319786,9.8,5,
glm_poisson,10000,32,pystatistics:gpu,cuda,0.0040528010576963425,12.7,5,
glm_poisson,10000,128,pystatistics:gpu,cuda,0.009418684057891369,24.4,5,
glm_poisson,100000,8,pystatistics:gpu,cuda,0.018109703436493874,21.7,5,
glm_poisson,100000,32,pystatistics:gpu,cuda,0.03901470731943846,50.5,5,
glm_poisson,100000,128,pystatistics:gpu,cuda,0.1430510701611638,166.7,5,
glm_poisson,500000,8,pystatistics:gpu,cuda,0.10665871482342482,75.0,5,
glm_poisson,500000,32,pystatistics:gpu,cuda,0.2967160549014807,219.0,5,
glm_poisson,500000,128,pystatistics:gpu,cuda,0.7218669345602393,794.8,5,
glm_gamma,1000,8,pystatistics:gpu,cuda,0.001682378351688385,8.7,5,
glm_gamma,1000,32,pystatistics:gpu,cuda,0.0018277065828442574,9.0,5,
glm_gamma,1000,128,pystatistics:gpu,cuda,0.005317842587828636,10.2,11,
glm_gamma,10000,8,pystatistics:gpu,cuda,0.002841130830347538,9.8,5,
glm_gamma,10000,32,pystatistics:gpu,cuda,0.003679133951663971,12.7,5,
glm_gamma,10000,128,pystatistics:gpu,cuda,0.009402494877576828,24.4,5,
glm_gamma,100000,8,pystatistics:gpu,cuda,0.01357155479490757,21.7,5,
glm_gamma,100000,32,pystatistics:gpu,cuda,0.03450429905205965,50.5,5,
glm_gamma,100000,128,pystatistics:gpu,cuda,0.13893388863652945,166.7,5,
glm_gamma,500000,8,pystatistics:gpu,cuda,0.08493044693022966,75.0,5,
glm_gamma,500000,32,pystatistics:gpu,cuda,0.2756194332614541,219.0,5,
glm_gamma,500000,128,pystatistics:gpu,cuda,0.7048087157309055,794.8,5,
