family,mechanism,severity,np_cond,plain_status,accepted_coef_rel_vs_fp64,accepted_dev_rel_vs_fp64,forced_coef_rel_vs_fp64,forced_dev_rel_vs_fp64,fp64_dev_rel_vs_cpu,classification
poisson,conditioning,0.1,20.06522321377557,converged,2.8721169835154598e-05,1.694041236006724e-13,,,0.0,safe
poisson,conditioning,0.01,202.44436814090756,converged,0.004638564873980387,5.17272148713877e-10,,,0.0,safe
poisson,conditioning,0.001,1980.998441282809,converged,0.0076057462048043974,1.4868743754803836e-08,,,2.054323181319802e-16,safe
poisson,conditioning,0.0001,20009.20882970051,refused:NumericalError,,,,inf,2.1349719368248744e-16,refused-true-positive
poisson,conditioning,1e-05,205259.07086254843,refused:NumericalError,,,,inf,0.0,refused-true-positive
poisson,conditioning,1e-06,2077452.4564538032,refused:NumericalError,,,,inf,4.836481461524229e-11,refused-true-positive
poisson,large_coef,1.0,1.0647595707521977,converged,3.5514270654166874e-07,9.037266560753038e-14,,,0.0,safe
poisson,large_coef,3.0,1.0701601784305463,converged,6.3013088959482965e-06,2.3105880903948693e-07,,,9.652632331699542e-13,safe
poisson,large_coef,6.0,1.0513397242516316,refused:NumericalError,,,2.3404544678559788e-05,0.0016851926123279562,1.961278539689084e-10,refused-true-positive
poisson,large_coef,10.0,1.0591189602446058,refused:NumericalError,,,0.0006301409500392062,8.33803949795642e-05,3.8869030204117996e-11,refused-force-recovers
poisson,large_coef,16.0,1.0765192137929216,converged,1.5973011976718887e-05,4.4886315036472467e-10,,,7.367301372881455e-16,safe
poisson,large_coef,24.0,1.0707426686407377,converged,0.0024992173787872747,5.407664835166088e-11,,,0.0,safe
poisson,low_weight,0.1,1.0658192142378748,converged,3.227657845522001e-07,5.2681830136143435e-15,,,0.0,safe
poisson,low_weight,0.5,1.0675492504132797,converged,6.989496702213398e-06,2.168338994947465e-14,,,0.0,safe
poisson,low_weight,0.8,1.056460372640202,converged,6.366746092344104e-05,6.619965945169467e-13,,,0.0,safe
poisson,low_weight,0.9,1.0614356468221116,converged,7.841254455900559e-07,7.034912170091421e-16,,,1.7587280425228554e-16,safe
poisson,low_weight,0.95,1.0807784965375775,converged,2.2694252416372616e-06,7.236416997506818e-14,,,1.9043202625017942e-16,safe
poisson,low_weight,0.99,1.1146077753179453,converged,4.581108119288956e-06,9.698432150021598e-13,,,0.0,safe
gamma,conditioning,0.1,20.058213035766347,converged,7.51338892281329e-05,5.746988830433613e-12,,,0.0,safe
gamma,conditioning,0.01,199.23612258888198,converged,0.0021552675159721107,6.790430190505989e-10,,,0.0,safe
gamma,conditioning,0.001,2038.4688365682568,refused:NumericalError,,,0.3651262377962637,7.90320356976907e-05,0.0,refused-force-recovers
gamma,conditioning,0.0001,20459.56143063171,refused:NumericalError,,,,inf,8.637807065676345e-16,refused-true-positive
gamma,conditioning,1e-05,204645.20347557575,converged,1.0007546672383307,9.69545899968023e-07,,,3.846436447718688e-15,safe
gamma,conditioning,1e-06,2015646.7932099767,refused:NumericalError,,,1.0000062375405125,0.0011160421850888007,3.862428474347735e-09,refused-true-positive
gamma,large_coef,1.0,1.0624515732937352,converged,0.00014629335072519913,2.4148324163523875e-11,,,0.0,safe
gamma,large_coef,3.0,1.0624661818123768,converged,2.3717821351814026e-07,1.2431425507362516e-13,,,0.0,safe
gamma,large_coef,6.0,1.0714167810337696,converged,5.990648348241848e-07,6.391011406502948e-08,,,7.824697420835025e-16,safe
gamma,large_coef,10.0,1.0669490873655767,refused:NumericalError,,,0.0002696727840012875,6.397523483282994e-05,0.0,refused-force-recovers
gamma,large_coef,16.0,1.0692848855113801,refused:NumericalError,,,0.011735085977088387,0.0053365615292347195,1.3726090866328604e-15,refused-true-positive
gamma,large_coef,24.0,1.0709225851922919,refused:NumericalError,,,nan,nan,,refused-true-positive
gamma,low_weight,0.1,1.0697311355392978,converged,0.00027592898207926973,6.740322204539782e-11,,,0.0,safe
gamma,low_weight,0.5,1.0779332161568889,refused:NumericalError,,,,inf,,refused-true-positive
gamma,low_weight,0.8,1.05909816542806,refused:NumericalError,,,,inf,,refused-true-positive
gamma,low_weight,0.9,1.0871761429580986,refused:NumericalError,,,,inf,,refused-true-positive
gamma,low_weight,0.95,1.0677942933771307,refused:NumericalError,,,,inf,,refused-true-positive
gamma,low_weight,0.99,1.0704139687651473,refused:NumericalError,,,,inf,,refused-true-positive
