dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:cpu,cpu,fp64,0.017147291568107903,23.3,True,
flchain_2_5yr,36018,13,pystatistics:cpu,cpu,fp64,0.037741458509117365,30.8,True,
flchain_yearly,82919,21,pystatistics:cpu,cpu,fp64,0.13389904203359038,72.4,True,
flchain_quarterly,319508,62,pystatistics:cpu,cpu,fp64,3.6997428335016593,847.8,True,
flchain_monthly,951967,172,pystatistics:cpu,cpu,fp64,105.93446689611301,5655.0,True,
synth_pp_n130000,130000,68,pystatistics:cpu,cpu,fp64,1.2642333540134132,,True,
synth_pp_n260000,260000,68,pystatistics:cpu,cpu,fp64,2.656700833584182,,True,
synth_pp_n520000,520000,68,pystatistics:cpu,cpu,fp64,5.245324749615975,,True,
synth_pp_n1040000,1040000,68,pystatistics:cpu,cpu,fp64,11.14482927089557,,True,
synth_pp_n2080000,2080000,68,pystatistics:cpu,cpu,fp64,21.394850000040606,2236.3,True,
