dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:gpu,cuda,fp32,0.0050788503140211105,11.4,True,
flchain_2_5yr,36018,13,pystatistics:gpu,cuda,fp32,0.00929681584239006,15.0,True,
flchain_yearly,82919,21,pystatistics:gpu,cuda,fp32,0.02416458074003458,31.4,True,
flchain_quarterly,319508,62,pystatistics:gpu,cuda,fp32,0.2777826115489006,255.3,True,
flchain_monthly,951967,172,pystatistics:gpu,cuda,fp32,2.092612350359559,1997.5,True,
synth_pp_n130000,130000,68,pystatistics:gpu,cuda,fp32,0.10352534428238869,117.8,True,
synth_pp_n260000,260000,68,pystatistics:gpu,cuda,fp32,0.2136290604248643,227.0,True,
synth_pp_n520000,520000,68,pystatistics:gpu,cuda,fp32,0.4200307708233595,445.4,True,
synth_pp_n1040000,1040000,68,pystatistics:gpu,cuda,fp32,0.8651312347501516,882.3,True,
synth_pp_n2080000,2080000,68,pystatistics:gpu,cuda,fp32,1.7556591806933284,1755.8,True,
