dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:gpu,cuda_fp64,fp64,0.029109002090990543,14.2,True,
flchain_2_5yr,36018,13,pystatistics:gpu,cuda_fp64,fp64,0.009118188172578812,21.5,True,
flchain_yearly,82919,21,pystatistics:gpu,cuda_fp64,fp64,0.023193327710032463,55.8,True,
flchain_quarterly,319508,62,pystatistics:gpu,cuda_fp64,fp64,0.7228461224585772,502.7,True,
flchain_monthly,951967,172,pystatistics:gpu,cuda_fp64,fp64,3.998522154055536,3986.9,True,
synth_pp_n130000,130000,68,pystatistics:gpu,cuda_fp64,fp64,0.23596560768783092,227.0,True,
synth_pp_n260000,260000,68,pystatistics:gpu,cuda_fp64,fp64,0.4670608341693878,446.4,True,
synth_pp_n520000,520000,68,pystatistics:gpu,cuda_fp64,fp64,0.9362854538485408,883.2,True,
synth_pp_n1040000,1040000,68,pystatistics:gpu,cuda_fp64,fp64,1.8869910007342696,1756.8,True,
synth_pp_n2080000,2080000,68,pystatistics:gpu,cuda_fp64,fp64,3.8410744350403547,3503.0,True,
