mechanism,severity,np_cond,n_intervals,n_cov,plain_status,accepted_coef_rel_vs_fp64,accepted_dev_rel_vs_fp64,forced_dev_rel_vs_fp64,fp64_dev_rel_vs_cpu,classification
low_hazard,4.0,1.1111465122955997,40,4,converged,5.640076063822337e-07,3.6512841843904155e-07,,,safe
low_hazard,6.0,1.0960453364137939,40,4,converged,3.1791015571642026e-06,4.1593606932823367e-07,,,safe
low_hazard,8.0,1.0877975873581998,40,4,converged,3.765342592553993e-05,4.017853436587661e-07,,,safe
low_hazard,10.0,1.0907463847277306,40,4,converged,3.3178217605266086e-07,3.9796652191585e-07,,,safe
low_hazard,12.0,1.088042381497346,40,4,converged,2.5793211038252824e-07,4.639293636609008e-07,,,safe
low_hazard,14.0,1.0977128359777748,40,4,converged,3.551810747097924e-07,4.888889282369083e-07,,,safe
near_separation,0.1,1.096539623076805,40,4,converged,2.9236373332627036e-07,4.048156060746573e-07,,,safe
near_separation,0.3,1.0873427298921174,40,4,converged,4.174957745988089e-07,4.3655871089163724e-07,,,safe
near_separation,0.5,1.0829091219121139,40,4,converged,1.9842610094361543e-06,6.953912327396365e-07,,,safe
near_separation,0.7,1.0813285713118554,40,4,converged,4.7494523063019157e-07,3.4106739393788135e-07,,,safe
near_separation,0.85,1.0956896022184808,40,4,converged,7.2118037286243625e-06,4.860325046859829e-07,,,safe
near_separation,0.95,1.0955441053193982,40,4,converged,6.283504458535925e-07,4.803627717170067e-07,,,safe
large_coef,1.0,1.0992623763008464,40,4,converged,3.1956614398894403e-07,1.3606049614873687e-13,,,safe
large_coef,3.0,1.0895270243791093,40,4,converged,2.3895124137707245e-07,1.3172095536414579e-14,,,safe
large_coef,6.0,1.0891042892217708,40,4,converged,3.274619320442709e-07,8.361132870128018e-14,,,safe
large_coef,10.0,1.0898045122065676,40,4,converged,8.868679516388304e-08,3.410642433772841e-14,,,safe
large_coef,16.0,1.1028375284043752,40,4,converged,3.9211023504643264e-07,1.0450066073667823e-12,,,safe
large_coef,24.0,1.0875447233013458,40,4,converged,3.001062100178506e-07,1.6931017299426292e-13,,,safe
conditioning,0.1,19.990011632509628,40,4,converged,0.00023461383827186276,4.7349836393908687e-14,,,safe
conditioning,0.01,202.37285337131945,40,4,converged,0.00023790178099830937,3.758484694921928e-07,,,safe
conditioning,0.001,2000.593886580125,40,4,converged,0.0001798094230129205,7.457438219036584e-11,,,safe
conditioning,0.0001,20138.943994033936,40,4,converged,0.007452897844862495,3.1473678601514517e-07,,,safe
conditioning,1e-05,201633.12465543678,40,4,refused:NumericalError,,,1.1283749326611994e-06,,refused-force-recovers
conditioning,1e-06,2028268.9968811113,40,4,refused:NumericalError,,,0.00017450101069116462,,refused-force-recovers
flchain_quarterly,0.0,3.563042786949614,55,7,converged,4.0299186127720666e-05,6.776617528528419e-13,,,safe
