mechanism,severity,np_cond,n_intervals,n_cov,plain_status,accepted_coef_rel_vs_fp64,accepted_dev_rel_vs_fp64,forced_dev_rel_vs_fp64,fp64_dev_rel_vs_cpu,classification
low_hazard,4.0,1.1111465122955997,40,4,converged,2.9121506845377364e-07,3.651238480866623e-07,,0.0,safe
low_hazard,6.0,1.096045336413794,40,4,converged,4.551983988065838e-06,4.159164882954685e-07,,0.0,safe
low_hazard,8.0,1.0877975873581995,40,4,converged,7.189311871691595e-06,4.016823578464306e-07,,1.4571601319185015e-16,safe
low_hazard,10.0,1.0907463847277306,40,4,converged,6.572516445209661e-07,3.9783475559772484e-07,,0.0,safe
low_hazard,12.0,1.0880423814973457,40,4,converged,5.663981106251942e-07,4.639033459567159e-07,,0.0,safe
low_hazard,14.0,1.0977128359777748,40,4,converged,3.345138514720586e-07,4.888339186839499e-07,,0.0,safe
near_separation,0.1,1.096539623076805,40,4,converged,7.528829647690745e-07,4.0479345206484666e-07,,0.0,safe
near_separation,0.3,1.0873427298921177,40,4,converged,3.012848009934056e-07,4.3647584741157074e-07,,0.0,safe
near_separation,0.5,1.0829091219121139,40,4,converged,8.506146276230659e-07,6.946743006599486e-07,,0.0,safe
near_separation,0.7,1.0813285713118552,40,4,converged,1.0631237789478279e-06,3.4080467533833376e-07,,0.0,safe
near_separation,0.85,1.095689602218481,40,4,converged,8.97928923741817e-06,4.859876657483637e-07,,0.0,safe
near_separation,0.95,1.0955441053193982,40,4,converged,1.805583765744462e-06,4.80295745510317e-07,,0.0,safe
large_coef,1.0,1.0992623763008462,40,4,converged,3.1956614242440763e-07,6.483933587575829e-14,,1.2763648794440608e-16,safe
large_coef,3.0,1.0895270243791093,40,4,converged,2.94322077448209e-07,7.206801695785448e-14,,0.0,safe
large_coef,6.0,1.0891042892217708,40,4,converged,1.1947156634526138e-05,5.7304721187044526e-11,,0.0,safe
large_coef,10.0,1.0898045122065676,40,4,converged,3.979868585554047e-06,7.197226301912395e-12,,0.0,safe
large_coef,16.0,1.1028375284043754,40,4,converged,6.221259348202163e-05,1.934541436425596e-09,,0.0,safe
large_coef,24.0,1.0875447233013458,40,4,converged,5.9617344097900325e-06,1.4823790206395218e-11,,1.3555658366234025e-16,safe
conditioning,0.1,19.990011632509447,40,4,converged,5.8231648986855784e-05,3.5581602202440155e-14,,0.0,safe
conditioning,0.01,202.37285336966306,40,4,converged,0.006938241627649264,3.836487049966315e-07,,0.0,safe
conditioning,0.001,2000.5938904867678,40,4,converged,0.0002196205342472529,8.020508319218992e-09,,1.4322497923939055e-16,safe
conditioning,0.0001,20138.938467235792,40,4,refused:NumericalError,,,inf,6.419300088045904e-16,refused-true-positive
conditioning,1e-05,201639.13061432994,40,4,refused:NumericalError,,,inf,2.0019148109538273e-14,refused-true-positive
conditioning,1e-06,2021130.9894125164,40,4,refused:NumericalError,,,inf,1.103802006241195e-10,refused-true-positive
flchain_quarterly,0.0,3.5630427869496226,55,7,converged,6.177144431507962e-05,8.77095167261848e-13,,0.0,safe
