procedure,quantity,n_elements,max_abs,max_rel
coxph_strata_efron,coefficients,3,2.220446049250313e-16,1.1688691754589462e-15
coxph_strata_efron,standard_errors,3,7.181755190543981e-16,2.868239889224617e-14
coxph_strata_efron,loglik_model,1,1.8189894035458565e-11,1.1408797582947505e-15
coxph_strata_efron,concordance,1,1.1102230246251565e-16,1.3962412483750913e-16
coxph_strata_breslow,coefficients,3,1.124100812432971e-15,1.8930598335171746e-14
coxph_strata_breslow,standard_errors,3,1.1796119636642288e-16,4.936453295268735e-15
coxph_strata_breslow,loglik_model,1,1.0913936421275139e-11,6.845140200864915e-16
coxph_strata_breslow,concordance,1,0.0,0.0
km_strata,time,1918,0.0,0.0
km_strata,survival,1918,1.1102230246251565e-16,1.6070520926042212e-16
km_strata,n_risk,1918,0.0,0.0
km_strata,se,1918,2.6020852139652106e-18,3.6428391143101465e-16
km_strata,ci_lower,1918,2.220446049250313e-16,3.2295836001015365e-16
km_strata,ci_upper,1918,2.220446049250313e-16,3.1123692367374714e-16
cox_zph,coefficients,3,2.220446049250313e-16,1.1688691754589462e-15
cox_zph,standard_errors,3,7.181755190543981e-16,2.868239889224617e-14
cox_zph,loglik_model,1,1.8189894035458565e-11,1.1408797582947505e-15
cox_zph,concordance,1,1.1102230246251565e-16,1.3962412483750913e-16
cox_zph,zph_chisq,4,1.9184653865522705e-13,4.677863262260055e-14
cox_zph,zph_p,4,6.772360450213455e-15,1.0077856938637943e-13
cox_start_stop,coefficients,2,9.992007221626409e-16,1.624703060588029e-15
cox_start_stop,standard_errors,2,2.7755575615628914e-17,2.489810470932125e-16
cox_start_stop,loglik_model,1,0.0,0.0
cox_start_stop,concordance,1,0.0,0.0
cox_start_stop,zph_chisq,3,7.549516567451064e-15,2.289245525458397e-15
cox_start_stop,zph_p,3,2.636779683484747e-16,8.078899509193077e-15
km_left_trunc,time,97,0.0,0.0
km_left_trunc,survival,97,5.551115123125783e-17,6.577126879900443e-16
km_left_trunc,n_risk,97,0.0,0.0
km_left_trunc,se,97,nan,nan
km_left_trunc,ci_lower,95,1.1102230246251565e-16,4.625057358582433e-16
km_left_trunc,ci_upper,95,2.498001805406602e-16,1.2851337973236669e-15
cox_cluster_robust,coefficients,2,2.7755575615628914e-17,2.9143355493822363e-15
cox_cluster_robust,standard_errors,2,2.7755575615628914e-17,2.6639136697456206e-16
cox_cluster_robust,loglik_model,1,1.7053025658242404e-13,3.874097134874736e-16
cox_cluster_robust,concordance,1,0.0,0.0
cox_cluster_robust,naive_se,2,0.0,0.0
