procedure,quantity,n_elements,max_abs,max_rel
r10_heavy_ties_strata_efron,coefficients,2,3.8163916471489756e-17,3.7417251870347194e-15
r10_heavy_ties_strata_efron,standard_errors,2,2.7755575615628914e-17,3.575479832036762e-16
r10_heavy_ties_strata_efron,loglik_model,1,3.410605131648481e-13,4.357632963784367e-16
r10_heavy_ties_strata_efron,concordance,1,1.1102230246251565e-16,2.2061774486692302e-16
r10_heavy_ties_strata_breslow,coefficients,2,4.9439619065339e-17,9.76322873954337e-15
r10_heavy_ties_strata_breslow,standard_errors,2,1.3877787807814457e-17,1.9298511602255572e-16
r10_heavy_ties_strata_breslow,loglik_model,1,1.1368683772161603e-13,1.3744378958314966e-16
r10_heavy_ties_strata_breslow,concordance,1,1.1102230246251565e-16,2.1672641813792978e-16
r10_singleton_stratum,coefficients,2,1.1449174941446927e-16,5.186251745714084e-15
r10_singleton_stratum,standard_errors,2,4.163336342344337e-17,4.377705635681691e-16
r10_singleton_stratum,loglik_model,1,1.1368683772161603e-13,2.633956737953641e-16
r10_singleton_stratum,concordance,1,0.0,0.0
r10_zph_rank,coefficients,2,4.5102810375396984e-17,1.626511289509133e-15
r10_zph_rank,standard_errors,2,5.551115123125783e-17,7.141642103519091e-16
r10_zph_rank,loglik_model,1,6.821210263296962e-13,8.343682001106689e-16
r10_zph_rank,concordance,1,1.1102230246251565e-16,2.14267153396659e-16
r10_zph_rank,zph_chisq,3,1.0547118733938987e-15,4.7147316235320684e-15
r10_zph_rank,zph_p,3,6.661338147750939e-16,9.066149396896705e-16
r10_zph_identity,coefficients,2,4.5102810375396984e-17,1.626511289509133e-15
r10_zph_identity,standard_errors,2,5.551115123125783e-17,7.141642103519091e-16
r10_zph_identity,loglik_model,1,6.821210263296962e-13,8.343682001106689e-16
r10_zph_identity,concordance,1,1.1102230246251565e-16,2.14267153396659e-16
r10_zph_identity,zph_chisq,3,7.216449660063518e-16,4.361707046397546e-15
r10_zph_identity,zph_p,3,5.551115123125783e-16,7.329586198935735e-16
r10_km_left_trunc_edge,time,111,0.0,0.0
r10_km_left_trunc_edge,survival,111,0.0,0.0
r10_km_left_trunc_edge,n_risk,111,0.0,0.0
r10_km_left_trunc_edge,se,111,nan,nan
r10_cp_heavy_ties_efron,coefficients,2,6.661338147750939e-16,1.5876473540719872e-14
r10_cp_heavy_ties_efron,standard_errors,2,2.7755575615628914e-17,2.6368520231313885e-16
r10_cp_heavy_ties_efron,loglik_model,1,5.684341886080802e-14,1.4055976599998784e-16
r10_cp_heavy_ties_efron,concordance,1,0.0,0.0
r10_cp_heavy_ties_breslow,coefficients,2,4.440892098500626e-16,2.218584376783928e-15
r10_cp_heavy_ties_breslow,standard_errors,2,4.163336342344337e-17,4.0363566412068577e-16
r10_cp_heavy_ties_breslow,loglik_model,1,1.1368683772161603e-13,2.6695913932662247e-16
r10_cp_heavy_ties_breslow,concordance,1,0.0,0.0
