group,series,case,quantity,max_abs,max_rel
acf_pacf,air_passengers,,acf,7.771561172376096e-16,1.1723502411789102e-15
acf_pacf,air_passengers,,pacf,2.197200754672224e-14,8.804454110210987e-13
acf_pacf,lynx,,acf,3.3306690738754696e-16,1.24975521684231e-15
acf_pacf,lynx,,pacf,4.010680676458378e-15,2.1242974179209354e-13
acf_pacf,sunspot_year,,acf,9.992007221626409e-16,1.458456026070448e-15
acf_pacf,sunspot_year,,pacf,6.439293542825908e-15,2.19388095946504e-12
acf_pacf,nile,,acf,3.885780586188048e-16,5.111393735133564e-15
acf_pacf,nile,,pacf,6.106226635438361e-16,7.952964786662969e-14
acf_pacf,co2,,acf,1.2212453270876722e-15,1.4218354141203085e-15
acf_pacf,co2,,pacf,1.9050039323786905e-13,1.3653044519286665e-11
acf_pacf,sim_arma11,,acf,7.771561172376096e-16,5.305354818085136e-15
acf_pacf,sim_arma11,,pacf,1.4710455076283324e-15,9.350776841283556e-14
acf_pacf,sim_nearunitroot,,acf,1.3322676295501878e-15,1.5086078001189826e-15
acf_pacf,sim_nearunitroot,,pacf,4.140437992461443e-14,1.0880238571286573e-10
decompose,air_passengers,additive,seasonal,1.5987211554602254e-14,3.764875735111971e-15
decompose,air_passengers,additive,trend,1.1368683772161603e-13,3.368083082729026e-16
decompose,air_passengers,additive,random,9.947598300641403e-14,3.3525522783434497e-13
decompose,air_passengers,multiplicative,seasonal,6.661338147750939e-16,6.612627630807265e-16
decompose,air_passengers,multiplicative,trend,1.1368683772161603e-13,3.368083082729026e-16
decompose,air_passengers,multiplicative,random,1.1102230246251565e-15,1.1092546734246797e-15
decompose,co2,additive,seasonal,1.2656542480726785e-14,2.3614052364470717e-13
decompose,co2,additive,trend,1.1368683772161603e-13,3.485406268096008e-16
decompose,co2,additive,random,1.2989609388114332e-13,4.236863670280725e-11
stl,co2,default/periodic,seasonal,2.353672812205332e-14,3.639968483703961e-13
stl,co2,default/periodic,trend,7.389644451905042e-13,2.0322678112307565e-15
stl,co2,default/periodic,remainder,6.820655151784649e-13,2.9653054008095346e-11
stl,air_passengers,default/periodic,seasonal,3.197442310920451e-14,6.7475646639372074e-15
stl,air_passengers,default/periodic,trend,1.7053025658242404e-13,5.404543511263553e-16
stl,air_passengers,default/periodic,remainder,1.7053025658242404e-13,7.065652908914e-13
stl,co2,s.window=7,seasonal,1.885158695813516e-12,3.982273801229716e-11
stl,co2,s.window=7,trend,9.492850949754938e-12,2.6060512990672676e-14
stl,co2,s.window=7,remainder,7.560174708487466e-12,2.3881885399928137e-10
stl,co2,s.window=35,seasonal,3.6415315207705135e-14,9.694450004271024e-14
stl,co2,s.window=35,trend,5.684341886080801e-13,1.5632528841722567e-15
stl,co2,s.window=35,remainder,5.115491363838487e-13,4.299411145797947e-09
stl,co2,"robust (inner=1,outer=15)",seasonal,4.836131495267182e-13,8.367339846962765e-13
stl,co2,"robust (inner=1,outer=15)",trend,2.177102942368947e-11,5.981148806198692e-14
stl,co2,"robust (inner=1,outer=15)",remainder,2.2225776774575934e-11,4.2138866806734775e-09
