func,n,py_ms,r_ms,ratio_py_over_r,py_slope,r_slope
acf,200,0.0495,0.1,0.495,0.21726888643408981,0.5039787467748953
acf,500,0.0507,0.3,0.169,0.21726888643408981,0.5039787467748953
acf,1000,0.0669,0.1,0.669,0.21726888643408981,0.5039787467748953
acf,2000,0.0708,0.3,0.236,0.21726888643408981,0.5039787467748953
acf,5000,0.0774,0.4,0.193,0.21726888643408981,0.5039787467748953
acf,10000,0.0943,0.7,0.135,0.21726888643408981,0.5039787467748953
acf,20000,0.1493,1.3,0.115,0.21726888643408981,0.5039787467748953
arima,200,2.0653,1.7,1.215,0.17766209095496915,0.5179591425314636
arima,500,2.1544,2.3,0.937,0.17766209095496915,0.5179591425314636
arima,1000,2.0014,2.7,0.741,0.17766209095496915,0.5179591425314636
arima,2000,3.2935,5.7,0.578,0.17766209095496915,0.5179591425314636
arima,5000,3.3887,8.3,0.408,0.17766209095496915,0.5179591425314636
ets,200,2.3082,1.0,2.308,1.0933532177864778,0.5924353976587895
ets,500,5.2468,1.3,4.036,1.0933532177864778,0.5924353976587895
ets,1000,11.1546,1.7,6.562,1.0933532177864778,0.5924353976587895
ets,2000,26.2423,2.7,9.719,1.0933532177864778,0.5924353976587895
ets,5000,74.8375,7.0,10.691,1.0933532177864778,0.5924353976587895
stl,240,0.0672,0.7,0.096,0.847793888813492,0.43717662523752715
stl,480,0.1066,0.7,0.152,0.847793888813492,0.43717662523752715
stl,960,0.1981,1.0,0.198,0.847793888813492,0.43717662523752715
stl,2400,0.4512,1.3,0.347,0.847793888813492,0.43717662523752715
stl,4800,0.8144,2.7,0.302,0.847793888813492,0.43717662523752715
