test,series,spec,stat_py,stat_r,stat_abs,p_py,p_ref,lag,pass
adf,sim_arma11,ct,-4.705548387153601,-4.705548387153624,2.3092638912203256e-14,0.0006828428075170847,0.0006828428075170368,7,True
adf,sim_nearunitroot,ct,-1.1426300732138435,-1.142630073213826,1.7541523789077473e-14,0.9216126098972701,0.921612609897268,6,True
adf,nile,ct,-3.365713914443696,-3.365713914443707,1.1102230246251565e-14,0.05614014414754821,0.05614014414754561,4,True
adf,lynx,ct,-6.306775384074111,-6.30677538407538,1.269206961751479e-12,4.868038811711912e-07,4.868038811680903e-07,4,True
adf,co2,ct,-2.829930670833813,-2.829930671063568,2.297548817864481e-10,0.18616853655644328,0.18616853647528386,7,True
kpss,sim_arma11,Level,0.6782309246489056,0.6782309246489059,3.3306690738754696e-16,0.015524461395554039,0.01552446139555401,5,True
kpss,sim_arma11,Trend,0.21890496004698148,0.2189049600469811,3.885780586188048e-16,0.01,0.01,5,True
kpss,nile,Level,0.9654349077526525,0.9654349077526603,7.771561172376096e-15,0.01,0.01,4,True
kpss,nile,Trend,0.23758697598997314,0.23758697598997,3.1363800445660672e-15,0.01,0.01,4,True
kpss,co2,Level,7.817278355024589,7.81727835502448,1.092459456231154e-13,0.01,0.01,5,True
kpss,co2,Trend,1.0398311363105608,1.039831136310324,2.3669954885008337e-13,0.01,0.01,5,True
